upstream,vuln_id,osv,Valid,fix_urls
https://github.com/bitcoin/bitcoin,CVE-2021-37492,https://osv.dev/vulnerability/CVE-2021-37492,TRUE,https://archive.softwareheritage.org/browse/revision/2fb9c1e6681370478e24a19172ed6d78d95d50d3/
https://github.com/bitcoin/bitcoin,CVE-2023-33297,https://osv.dev/vulnerability/CVE-2023-33297,FALSE,https://archive.softwareheritage.org/browse/revision/3116ccd790e76de8f64d2ef9aa5a2641c15bbd8b/
https://github.com/apache/incubator-nuttx,CVE-2021-26461,https://osv.dev/vulnerability/CVE-2021-26461,TRUE,https://archive.softwareheritage.org/browse/revision/3130ff691e386934eb276587a24d1efacf3bb30b/
https://github.com/vim/vim,CVE-2022-2345,https://osv.dev/vulnerability/CVE-2022-2345,TRUE,https://archive.softwareheritage.org/browse/revision/32acf1f1a72ebb9d8942b9c9d80023bf1bb668ea/
https://github.com/vim/vim,CVE-2022-1897,https://osv.dev/vulnerability/CVE-2022-1897,TRUE,https://archive.softwareheritage.org/browse/revision/338f1fc0ee3ca929387448fe464579d6113fa76a/
https://github.com/teeworlds/teeworlds,CVE-2018-18541,https://osv.dev/vulnerability/CVE-2018-18541,TRUE,https://archive.softwareheritage.org/browse/revision/344a58cd858669f2b742827024dff7fd25fccccf/
https://github.com/golang/go,CVE-2022-24675,https://osv.dev/vulnerability/CVE-2022-24675,FALSE,https://archive.softwareheritage.org/browse/revision/346b18ee9d15410ab08dd583787c64dbed0666d2/
https://github.com/vim/vim,CVE-2022-0629,https://osv.dev/vulnerability/CVE-2022-0629,TRUE,https://archive.softwareheritage.org/browse/revision/34f8117dec685ace52cd9e578e2729db278163fc/
https://github.com/qemu/qemu,CVE-2016-9602,https://osv.dev/vulnerability/CVE-2016-9602,FALSE,https://archive.softwareheritage.org/browse/revision/359c41abe32638adad503e386969fa428cecff52/
https://gitlab.com/qemu-project/qemu,CVE-2017-2630,https://osv.dev/vulnerability/CVE-2017-2630,FALSE,https://archive.softwareheritage.org/browse/revision/359c41abe32638adad503e386969fa428cecff52/
https://github.com/qemu/qemu,CVE-2016-9603,https://osv.dev/vulnerability/CVE-2016-9603,FALSE,https://archive.softwareheritage.org/browse/revision/359c41abe32638adad503e386969fa428cecff52/
https://github.com/vim/vim,CVE-2021-3796,https://osv.dev/vulnerability/CVE-2021-3796,TRUE,https://archive.softwareheritage.org/browse/revision/35a9a00afcb20897d462a766793ff45534810dc3/
