fork,upstream,vuln_id,head_swh,fix_urls,manual evaluation,Owner notification,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
https://github.com/sonyxperiadev/kernel,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2021-4154,https://archive.softwareheritage.org/browse/revision/9ac561909bae9136f07ed94ffcad068fc24603ad,https://archive.softwareheritage.org/browse/revision/3b0462726e7ef281c35a7a4ae33e93ee2bc9975b/,POSITIVE,AFFECTED,,,,
https://github.com/linux-kernel-labs/linux,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2021-45485,https://archive.softwareheritage.org/browse/revision/696df5ea825e7b2468c80920cf3ad729ae8db2cc,https://archive.softwareheritage.org/browse/revision/62f20e068ccc50d6ab66fdb72ba90da2b9418c99/,POSITIVE,EXCLUDED,"Excluded, educational",,,
https://github.com/linux-kernel-labs/linux,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2022-0516,https://archive.softwareheritage.org/browse/revision/696df5ea825e7b2468c80920cf3ad729ae8db2cc,https://archive.softwareheritage.org/browse/revision/09a93c1df3eafa43bcdfd7bf837c574911f12f55/,POSITIVE,EXCLUDED,"Excluded, educational",,,
https://github.com/linux-kernel-labs/linux,https://github.com/torvalds/linux,CVE-2021-3656,https://archive.softwareheritage.org/browse/revision/696df5ea825e7b2468c80920cf3ad729ae8db2cc,https://archive.softwareheritage.org/browse/revision/c7dfa4009965a9b2d7b329ee970eb8da0d32f0bc/,POSITIVE,EXCLUDED,"Excluded, educational",,,
https://github.com/shyouhei/ruby,https://github.com/ruby/ruby,CVE-2021-28966,https://archive.softwareheritage.org/browse/revision/f96483ee10c95c2b2dd838454100631fe40f5157,https://archive.softwareheritage.org/browse/revision/6847ee089d7655b2a0eea4fee3133aeacd4cc7cc/,POSITIVE,EXCLUDED,"Excluded, explicitly mention to not use it",,,
https://github.com/yiichina/yii2,https://github.com/yiisoft/yii2,CVE-2020-15148,https://archive.softwareheritage.org/browse/revision/c47e2092333a515aebcf8e119df660fad3549f4d,https://archive.softwareheritage.org/browse/revision/9abccb96d7c5ddb569f92d1a748f50ee9b3e2b99/,POSITIVE,EXCLUDED,"Excluded, documentation repo",,,
https://github.com/yiichina/yii2,https://github.com/yiisoft/yii2,CVE-2021-3689,https://archive.softwareheritage.org/browse/revision/c47e2092333a515aebcf8e119df660fad3549f4d,https://archive.softwareheritage.org/browse/revision/13f27e4d920a05d53236139e8b07007acd046a46/,POSITIVE,EXCLUDED,,,,
https://github.com/ytdl-patched/ytdl-patched,https://github.com/yt-dlp/yt-dlp,CVE-2023-40581,https://archive.softwareheritage.org/browse/revision/249683c3ecacaac38c34e3e6e5e6443bf3c08e83,https://archive.softwareheritage.org/browse/revision/de015e930747165dbb8fcd360f8775fd973b7d6e/,POSITIVE,,,,,
https://github.com/jl777/komodo,https://github.com/bitcoin/bitcoin,CVE-2021-37492,https://archive.softwareheritage.org/browse/revision/a89b6e8795aa6ee6771bf465e7a7e710ce363266,https://archive.softwareheritage.org/browse/revision/2fb9c1e6681370478e24a19172ed6d78d95d50d3/,POSITIVE,,,,,
https://github.com/gcash/bchd,https://github.com/btcsuite/btcd,CVE-2018-17145,https://archive.softwareheritage.org/browse/revision/6e56fb2c422b646ef71917f0a0a0b887b7449635,https://archive.softwareheritage.org/browse/revision/718d268a8cf55af9b329bac9e171009352fbc10a/,POSITIVE,,,,,
